zona_climatica;periodo;EPgl_nren;EPgl_ren;CO2
A;kE8E9;131.16;10.5;27.22
A;kE10E11;124.12;12.84;26.03
A;kE12E13;119.39;21.28;25.11
A;kE14E15;120.69;39.05;26.28
A;kE16;79.4;36.8;17.04
A;k2015;87.04;42.23;19.44
B;kE8E9;174.49;18.08;35.67
B;kE10E11;146.63;16.1;30.09
B;kE12E13;143.46;17.14;29.46
B;kE14E15;133.23;18.33;27.36
B;kE16;120.43;19.24;24.93
B;k2015;81.62;27.85;17.02
C;kE8E9;203.61;17.76;40.82
C;kE10E11;174.34;14.32;35.01
C;kE12E13;166.58;15.11;33.58
C;kE14E15;147.61;14.48;29.75
C;kE16;119.42;16.92;24.37
C;k2015;63.61;31.82;13.28
D;kE8E9;202.65;15.49;40.3
D;kE10E11;178.23;12.12;35.43
D;kE12E13;171.63;13.12;34.16
D;kE14E15;155.13;12.99;30.94
D;kE16;119.75;15.09;24.12
D;k2015;65.7;34.09;13.52
E;kE8E9;245.21;19.81;48.7
E;kE10E11;218.82;14.98;44.01
E;kE12E13;198.96;15.45;39.9
E;kE14E15;164.52;11.63;32.84
E;kE16;118.61;18.5;24.12
E;k2015;55.02;46.35;11.99
F;kE8E9;299.12;40.79;61.09
F;kE10E11;263.23;30.43;55.85
F;kE12E13;238.44;29.05;52.04
F;kE14E15;194.19;25.07;41.76
F;kE16;131.53;33.73;28.45
F;k2015;79.96;53.92;17.58
